,C,A,B,N,M,R,G,H,D
596,0,1,0,1,0,0,0,0,0
597,2,0,0,0,0,0,0,0,0
598,2,1,1,3,1,0,0,1,0
599,0,2,0,0,0,0,0,0,0
600,0,0,0,0,2,1,0,0,0
601,1,1,0,1,1,0,0,0,0
602,3,0,0,0,0,0,0,0,0
603,3,1,0,1,0,0,0,0,0
604,0,0,1,0,0,0,0,0,1
605,2,2,0,1,0,0,0,0,0
606,3,1,0,0,0,0,0,0,0
607,0,2,0,0,0,0,0,0,0
608,0,0,0,0,0,2,0,0,0
609,1,0,1,0,0,0,0,0,0
610,4,1,0,0,0,0,0,0,0
611,1,1,0,0,0,0,0,0,0
612,0,2,0,0,0,1,0,0,0
613,5,1,1,0,1,0,0,0,0
614,0,2,0,0,0,0,0,0,0
615,3,0,2,0,0,0,0,0,0
616,3,0,0,0,0,0,0,0,0
617,0,2,0,0,0,0,0,0,0
618,1,0,0,0,0,1,0,0,0
619,0,1,1,1,0,0,0,1,0
620,3,1,0,0,0,0,0,0,0
621,2,2,0,0,0,0,0,0,0
622,0,1,0,1,1,2,0,0,0
623,2,0,0,0,0,0,0,0,0
624,3,0,0,0,1,0,0,0,0
625,0,1,0,0,1,0,0,0,0
626,4,0,1,0,1,0,0,0,0
627,0,1,0,0,0,2,0,0,0
628,2,0,0,1,0,0,0,0,0
629,1,1,0,1,0,0,0,0,0
630,5,3,1,0,0,0,1,0,0
631,1,0,0,1,1,0,0,0,0
632,4,1,0,0,0,0,0,0,0
633,2,0,0,0,0,0,0,1,0
634,0,2,0,1,0,0,0,0,0
635,3,0,1,0,0,0,0,0,0
636,3,0,0,0,0,0,0,0,0
637,3,0,1,0,0,0,0,0,0
638,1,0,1,0,0,0,0,0,0
639,4,1,1,0,0,0,0,0,0
640,0,1,0,0,1,1,0,0,0
641,3,1,0,1,0,0,0,0,0
642,2,0,0,0,0,0,0,0,0
643,1,0,1,0,1,2,0,0,0
644,5,1,0,0,1,0,0,0,0
645,0,0,0,0,1,1,0,0,0
646,6,2,1,0,0,0,0,1,0
647,5,2,0,1,1,0,0,0,0
648,2,0,1,1,0,1,0,0,0
649,3,0,1,1,0,1,0,0,0
650,1,0,0,0,1,1,0,0,0
651,4,0,0,0,0,0,0,0,0
652,4,0,1,0,0,0,0,0,0
653,2,2,1,0,0,1,0,0,0
654,2,1,0,2,0,0,0,0,0
655,0,0,0,1,0,1,0,0,0
656,1,0,1,1,0,0,0,0,0
657,3,1,0,1,0,0,0,0,0
658,3,0,0,0,0,0,0,0,0
659,0,0,0,0,1,1,0,0,0
660,3,1,1,0,0,0,0,0,0
661,0,0,0,1,0,0,1,0,0
662,3,0,0,0,0,0,0,0,0
663,3,0,1,1,1,0,0,0,0
664,3,0,1,1,0,0,0,0,0
665,0,1,0,1,0,1,0,0,0
666,0,0,0,1,0,1,0,0,0
